Wed Nov  4 23:21:00 2020:	'charmap' codec can't encode characters in position 5-37: character maps to <undefined>-data/ESP-beyond-grants.txt
Wed Nov  4 23:21:00 2020:	'charmap' codec can't encode character '\u81ea' in position 0: character maps to <undefined>-data/ESP-beyond-grants.txt
Wed Nov  4 23:21:00 2020:	'charmap' codec can't encode characters in position 0-11: character maps to <undefined>-data/ESP-beyond-grants.txt
Wed Nov  4 23:21:00 2020:	'charmap' codec can't encode characters in position 0-125: character maps to <undefined>-data/ESP-beyond-grants.txt
Wed Nov  4 23:21:00 2020:	'charmap' codec can't encode characters in position 0-7: character maps to <undefined>-data/ESP-beyond-grants.txt
Wed Nov  4 23:21:00 2020:	'charmap' codec can't encode characters in position 0-72: character maps to <undefined>-data/ESP-beyond-grants.txt
Wed Nov  4 23:21:00 2020:	'charmap' codec can't encode characters in position 0-54: character maps to <undefined>-data/ESP-beyond-grants.txt
Wed Nov  4 23:26:34 2020:	'charmap' codec can't encode characters in position 15-17: character maps to <undefined>-data/ethereums-eth2-0-deposit-contract-is-reportedly-live-on-github.txt
Wed Nov  4 23:26:34 2020:	'charmap' codec can't encode character '\u27e0' in position 16: character maps to <undefined>-data/ethereums-eth2-0-deposit-contract-is-reportedly-live-on-github.txt
Wed Nov  4 23:26:36 2020:	'charmap' codec can't encode character '\U0001f449' in position 0: character maps to <undefined>-data/ethereum-holders-sent-8170-eth-to-crypto-exchanges-before-dip-to-370.txt
Wed Nov  4 23:26:36 2020:	'charmap' codec can't encode character '\U0001f9d0' in position 0: character maps to <undefined>-data/ethereum-holders-sent-8170-eth-to-crypto-exchanges-before-dip-to-370.txt
Thu Nov  5 12:15:43 2020:	'charmap' codec can't encode character '\U0001f680' in position 20: character maps to <undefined>-data/eth2-quick-update-no-19.txt
Thu Nov  5 12:15:43 2020:	'charmap' codec can't encode character '\U0001f680' in position 97: character maps to <undefined>-data/eth2-quick-update-no-19.txt
Thu Nov  5 12:15:44 2020:	'charmap' codec can't encode character '\U0001f680' in position 20: character maps to <undefined>-data/eth2-quick-update-no-19.txt
Thu Nov  5 12:15:44 2020:	'charmap' codec can't encode character '\U0001f680' in position 97: character maps to <undefined>-data/eth2-quick-update-no-19.txt
Thu Nov  5 12:15:45 2020:	'charmap' codec can't encode character '\U0001f680' in position 14: character maps to <undefined>-data/eth2-quick-update-no-18.txt
Thu Nov  5 12:15:45 2020:	'charmap' codec can't encode character '\U0001f680' in position 14: character maps to <undefined>-data/eth2-quick-update-no-18.txt
Thu Nov  5 12:15:45 2020:	'charmap' codec can't encode character '\U0001f4e3' in position 0: character maps to <undefined>-data/eth2-quick-update-no-17.txt
Thu Nov  5 12:15:45 2020:	'charmap' codec can't encode character '\U0001f389' in position 43: character maps to <undefined>-data/eth2-quick-update-no-17.txt
Thu Nov  5 12:15:45 2020:	'charmap' codec can't encode character '\u2705' in position 77: character maps to <undefined>-data/eth2-quick-update-no-17.txt
Thu Nov  5 12:15:45 2020:	'charmap' codec can't encode character '\ufe0f' in position 37: character maps to <undefined>-data/eth2-quick-update-no-17.txt
Thu Nov  5 12:15:46 2020:	'charmap' codec can't encode character '\U0001f4e3' in position 0: character maps to <undefined>-data/eth2-quick-update-no-17.txt
Thu Nov  5 12:15:46 2020:	'charmap' codec can't encode character '\U0001f389' in position 43: character maps to <undefined>-data/eth2-quick-update-no-17.txt
Thu Nov  5 12:15:46 2020:	'charmap' codec can't encode character '\u2705' in position 77: character maps to <undefined>-data/eth2-quick-update-no-17.txt
Thu Nov  5 12:15:46 2020:	'charmap' codec can't encode character '\ufe0f' in position 37: character maps to <undefined>-data/eth2-quick-update-no-17.txt
Thu Nov  5 12:15:46 2020:	'charmap' codec can't encode character '\U0001f680' in position 161: character maps to <undefined>-data/eth2-quick-update-no-16.txt
Thu Nov  5 12:15:46 2020:	'charmap' codec can't encode character '\U0001f680' in position 161: character maps to <undefined>-data/eth2-quick-update-no-16.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-7: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-9: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-21: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-63: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-15: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-25: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-8: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-8: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-5: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-7: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-9: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-21: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-63: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-15: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-25: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-8: character maps to <undefined>-data/ESP-q2-updates.txt
Thu Nov  5 12:15:47 2020:	'charmap' codec can't encode characters in position 0-8: character maps to <undefined>-data/ESP-q2-updates.txt
